url,rental_type,guests,bedrooms,beds,baths,latitude,longitude,host_name,superhost,years_hosting
https://www.airbnb.com/rooms/1157205180469247740,Entire home,4,2,2,2,32.0729,-81.0877,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1157205181425519382,Entire home,3,1,2,1,32.0729,-81.0877,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1157205183248453331,Entire home,2,1,1,1,32.0728,-81.0878,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1157205183479086541,Entire home,9,4,5,4,32.073,-81.0877,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1157905509508872443,Entire condo,5,2,3,3,32.0823,-81.0938,Brandon & Chase Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1158654881879039087,Entire rental unit,4,1,2,1,32.0823,-81.0938,Brandon & Chase Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1158760801073202499,Entire rental unit,4,1,2,1,32.0786,-81.0929,Brandon & Chase Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1158776389721135127,Entire condo,4,2,2,2,32.0823,-81.0938,Brandon & Chase Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1158787454660158576,Entire townhouse,16,7,12,5,32.0333,-81.0566,Heirloom Superhost · 7 years hosting,Superhost,7
https://www.airbnb.com/rooms/1159501632699043017,Entire home,8,4,5,2,32.07825,-81.08632,Donna Superhost · 4 years hosting,Superhost,4
https://www.airbnb.com/rooms/1159844559437277448,Entire home,8,3,4,2,32.04693,-81.00986,Milan Superhost · 5 years hosting,Superhost,5
https://www.airbnb.com/rooms/1163100600376479007,Entire home,6,3,4,2,32.10376,-81.2459,Marcel Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1163999944439545496,Entire rental unit,4,2,3,2,32.0786,-81.0929,Brandon & Chase Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1166610158380549574,Entire rental unit,2,2,2,1,32.0474,-81.107,Belinda Superhost · 9 years hosting,Superhost,9
https://www.airbnb.com/rooms/1166621166008917501,Entire townhouse,6,3,3,3,32.0772,-81.0768,Lucky Savannah Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1166770255873932040,Entire rental unit,2,1,1,1,31.99229,-81.2017,Jamari 2 years hosting,,2
https://www.airbnb.com/rooms/1167484100056734676,Entire rental unit,6,3,3,2,32.0809,-81.0905,Mike And Sarah Superhost · 5 years hosting,Superhost,5
https://www.airbnb.com/rooms/1167568997823133885,Entire rental unit,3,1,2,1,32.0812,-81.0903,Mike And Sarah Superhost · 5 years hosting,Superhost,5
https://www.airbnb.com/rooms/1167639715199337901,Entire rental unit,4,1,2,1,32.0812,-81.0903,Mike And Sarah Superhost · 5 years hosting,Superhost,5
https://www.airbnb.com/rooms/1168047000309225911,Entire rental unit,4,1,2,1,32.081,-81.0906,Mike And Sarah Superhost · 5 years hosting,Superhost,5
https://www.airbnb.com/rooms/1168049911837370638,Entire rental unit,4,1,2,1,32.081,-81.0906,Mike And Sarah Superhost · 5 years hosting,Superhost,5
https://www.airbnb.com/rooms/1169095003030419604,Entire home,10,4,7,2,32.0115,-80.9707,Carlos & Marci Superhost · 7 years hosting,Superhost,7
